ssid,bssid,encryption,vendor,longitude,latitude
City WG,88:f7:c7:52:54:c6,"",Technicolor CH USA Inc.,8.6546448,49.8710322
TUDWeb,d0:c7:89:48:1d:92,"","Cisco Systems, Inc",8.658078,49.87566
2AMC,34:31:c4:3d:ee:07,"",AVM GmbH,8.6338043,49.8694647
Heinernetz,94:4a:0c:32:a7:fc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Sercomm Corporation,8.65393426634273,49.8618774008682
WLAN-236130,94:4a:0c:da:64:ab,[WPA2-PSK-CCMP][WPS][ESS],Sercomm Corporation,8.66663112533509,49.8634169871819
HOTSPLOTS_SMARTments_5GHz,24:a4:3c:c2:7a:d0,"",Ubiquiti Networks Inc.,8.6371245,49.8647632
Gastzugang,4c:09:d4:b5:1c:87,"",Arcadyan Technology Corporation,8.6470038,49.8715773
eduroam,a0:cf:5b:3d:91:c3,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.65705460348334,49.8774853819564
TP-LINK_A1,e8:94:f6:a1:ee:b8,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6369963,49.8693438
RO16,5c:49:79:53:f7:96,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.66552214960937,49.8614546828125
FRITZ!Powerline 546E,24:65:11:c3:f0:3a,"",AVM GmbH,8.6494007,49.8726872
HOMEWAY225493,00:1f:7d:a0:00:c8,"",embedded wireless GmbH,8.6815355,49.8720407
WLAN TNA,9c:c7:a6:bc:ed:c4,"",AVM GmbH,8.6696081,49.868892
NETGEARb,00:1f:33:4a:e8:8e,"",NETGEAR,8.6640824,49.880453
EasyBox-2D7534,5c:dc:96:2d:75:e6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.65959195849773,49.8671685118544
SchiggiNet,00:15:0c:fd:df:56,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM GmbH,8.66587813511025,49.8638200802399
TUDWeb,20:4c:9e:a2:e6:bd,[ESS],"Cisco Systems, Inc",8.65713389892802,49.8739449846477
UPC1017659,44:32:c8:31:0c:46,WPA-PSK-CCMP+TKIP,Technicolor CH USA Inc.,8.663103,49.879127
FRITZ!Box 7362 SL,34:81:c4:c9:e0:c9,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65622179727884,49.8616514504316
nightykid,a8:57:4e:53:40:50,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.670403,49.882743
Put-In,10:fe:ed:7f:29:6c,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.670222,49.883478
Unitymedia Public WifiSpot,84:18:3a:34:4b:a8,"",Ruckus Wireless,8.6509829,49.8728593
